Name,Date of birth,Date of death,Official cause of death,Fame,Age,Number of days alive
Kristen Pfaff,"May 26, 1967","June 16, 1994",Drug overdose,Bass guitarist for Hole and Janitor Joe,"27 years, 21 days",21
Richey Edwards,"December 22, 1967","February 1, 1995",Disappeared near a common suicide site; later presumed dead,Lyricist and guitarist for Manic Street Preachers,"27 years, 41 days",41
Stretch,"April 8, 1968","November 30, 1995",Murdered,Rapper,"27 years, 236 days",236
Fat Pat,"December 4, 1970","February 3, 1998",Murdered,American rapper and member of Screwed Up Click,"27 years, 61 days",61
Freaky Tah,"May 14, 1971","March 28, 1999",Murdered,American rapper and member of the hip hop group Lost Boyz,"27 years, 318 days",318
Kami,"February 1, 1972","June 21, 1999",Subarachnoid hemorrhage,Drummer for Malice Mizer,"27 years, 140 days",140
Rodrigo Bueno,"May 24, 1973","June 24, 2000",Traffic collision,Cuarteto singer,"27 years, 31 days",31
Sean Patrick McCabe,"November 13, 1972","August 28, 2000",Asphyxiation,Lead singer of Ink & Dagger,"27 years, 289 days",289
Maria Serrano Serrano,"November 26, 1973","November 24, 2001",Plane crash (Crossair Flight 3597),Background singer for Passion Fruit,"27 years, 363 days",363
Rico Yan,"March 14, 1975","March 29, 2002",Acute Hemorrhagic Pancreatitis,Filipino actor,"27 years, 15 days",15
Jonathan Brandis,"April 13, 1976","November 12, 2003",Suicide by hanging,American actor,"27 years, 213 days",213
Jeremy Ward,"May 5, 1976","May 25, 2003",Drug overdose,The Mars Volta and De Facto sound manipulator,"27 years, 20 days",20
Bryan Ottoson,"March 18, 1978","April 19, 2005",Drug overdose,Guitarist for American Head Charge,"27 years, 32 days",32
Valentín Elizalde,"February 1, 1979","November 25, 2006",Murdered,Mexican banda singer,"27 years, 297 days",297
"Damien ""Damo"" Morris","May 22, 1980","December 19, 2007",Traffic collision,Member of Australian deathcore band the Red Shore,"27 years, 211 days",211
Orish Grinstead,"June 2, 1980","April 20, 2008",Kidney failure,Founding member of the R&B group 702,"27 years, 323 days",323
Jade Goody,"June 5, 1981","March 22, 2009",Cervical cancer,Reality-television personality,"27 years, 290 days",290
Dash Snow,"July 27, 1981","July 13, 2009",Drug overdose,Artist,"27 years, 351 days",351
Lily Tembo,"November 20, 1981","September 14, 2009",Gastritis,Zambian pop singer,"27 years, 298 days",298
Achik Spin [ms],"July 1, 1982","April 17, 2010",Road accident,Member of the Malaysian pop group Spin,"27 years, 290 days",290
Amy Winehouse,"September 14, 1983","July 23, 2011",Alcohol poisoning,Singer-songwriter,"27 years, 312 days",312
Richard Turner,"July 30, 1984","August 11, 2011",Cardiac arrest,"Trumpet player, collaborator with Friendly Fires[80]","27 years, 12 days",12
Nicole Bogner,"March 22, 1984","January 6, 2012",Undisclosed illness,Singer for Visions of Atlantis,"27 years, 290 days",290
Sahara Davenport,"December 17, 1984","October 1, 2012",Heart failure,"Drag queen, singer, television personality, and classically trained dancer","27 years, 289 days",289
Danny Wilder,"February 11, 1986","October 3, 2013",Lung cancer,Lead singer and guitarist of Kings of the City,"27 years, 234 days",234
"Soroush ""Looloosh"" Farazmand","October 31, 1986","November 11, 2013",Murdered,Guitarist of Iranian-American band the Yellow Dogs,"27 years, 11 days",11
Slađa Guduraš,"August 11, 1987","December 10, 2014",Road accident,Bosnian pop singer and actress,"27 years, 121 days",121
Tomas Lowe,"December 5, 1988","February 13, 2016",Road accident,Bassist for Viola Beach,"27 years, 70 days",70
Anton Yelchin,"March 11, 1989","June 19, 2016",Accidental blunt traumatic asphyxia,"Actor, Chekov in the Star Trek reboot series","27 years, 100 days",100
Thomas Fekete,"July 1, 1988","May 31, 2016",Cancer,Guitarist for Surfer Blood,"27 years, 335 days",335
Kim Jong-hyun,"April 8, 1990","December 18, 2017",Suicide by carbon monoxide poisoning,Vocalist and lyricist for Shinee,"27 years, 254 days",254
Fredo Santana,"July 4, 1990","January 19, 2018",Cardiovascular disease and idiopathic epilepsy,American rapper,"27 years, 199 days",199
Benjamin Keough,"October 21, 1992","July 12, 2020",Suicide by gunshot,Elvis Presley's grandson and son of Lisa Marie Presley and brother of Riley Keough,"27 years, 265 days",265
